Nome da Categoria,Descrição,Serviços,Prestadores,Destaque,Contador,Ativo?
"
Religião, Comunidade e Ações Sociais
","Igrejas, instituições religiosas, grupos comunitários, ONGs, projetos sociais, campanhas, voluntariado e entidades assistenciais.","""
Associações Comunitárias
"",""
Ações Sociais
"",""
Campanhas Solidárias
"",""
Grupos Comunitários
"",""
Igrejas e Instituições Religiosas
"",""
ONGs
"",""
Projetos Sociais
"",""
Voluntariado
""","Alexandre,Ubiratan",,8,checked
"
Saúde e bem-estar
","Clínicas, médicos, dentistas, psicólogos, fisioterapeutas, nutricionistas, terapeutas, farmácias, laboratórios, pilates, estética, massagens, terapias integrativas e serviços para qualidade de vida.","""
Academia Terapêutica
"",""
Clínicas de Imagem
"",""
Consultoria de Amamentação
"",""
Consultoria de Enfermagem
"",""
Consultoria Médica
"",""
Cuidadores de Idosos
"",""
Dentistas
"",""
Estética
"",""
Farmácia de Manipulação
"",""
Farmácias
"",""
Fisioterapia
"",""
Fonoaudiologia
"",""
Laboratórios de Exames
"",""
Médicos, Clínicas e Hospitais
"",""
Nutricionista
"",""
Pilates
"",""
Psicólogos
"",""
Saúde Ocupacional
"",""
Spa e Massagem
"",""
Terapias Integrativas
""",Ricardo,,20,checked
"
Segurança e Monitoramento
","Empresas de segurança,
  instalação de câmeras, alarmes, cercas elétricas, controle de acesso, portões
  eletrônicos, rastreamento veicular e vigilância.","""
Alarmes
"",""
Cerca Elétrica
"",""
Controle de Acesso
"",""
Instalação de Câmeras
"",""
Portões Eletrônicos
"",""
Rastreamento Veicular
"",""
Segurança Privada
"",""
Segurança Residencial
"",""
Vigilância e Monitoramento
""",Rafael,,9,checked
"
Serviços Financeiros, Seguros
","Bancos,
  cooperativas de crédito, financeiras, corretores de seguros, consórcios,
  empréstimos, investimentos, seguros, previdência, maquininhas de cartão e
  soluções financeiras para pessoas e empresas.","""
Bancos e Correspondentes Bancários
"",""
Consórcios
"",""
Consórcios e Financiamentos
"",""
Cooperativas de Crédito
"",""
Educação Financeira
"",""
Empréstimos e Crédito Pessoal
"",""
Financiamento de Veículos
"",""
Financiamento Imobiliário
"",""
Investimentos
"",""
Maquininhas e Meios de Pagamento
"",""
Planejamento Financeiro
"",""
Previdência Privada
"",""
Proteção Veicular
"",""
Seguro e Proteção Patrimonial
"",""
Seguro Empresarial
"",""
Seguros de Vida, Veículos e Residenciais
""",Chinelinho,,16,checked
"
Serviços para Veículos
","Oficinas mecânicas,
  autoelétricas, borracharias, lava-jatos, funilarias, pintura, autopeças, som
  automotivo, guincho, alinhamento, balanceamento, troca de óleo e serviços
  para veículos.","""
Alinhamento e Balanceamento
"",""
Aluguel de Veículos
"",""
Auto Elétrica Leve
"",""
Autopeças
"",""
Borracharia
"",""
Despachante Veicular
"",""
Estética Automotiva
"",""
Funilaria e Pintura
"",""
Guincho
"",""
Lava Jato
"",""
Mecânica de Carros
"",""
Motos e Peças para Motos
"",""
Oficina Diesel
"",""
Pneus e Alinhamento
"",""
Som e Acessórios Automotivos
"",""
Troca de Óleo
"",""
Venda de Carros
"",""
Vistoria Veicular
""","Weslley,Euzemario,Duilio,Jose Mota",,18,checked
"
Serviços Públicos, Associações e Entidades
","Sindicatos, associações comerciais, entidades rurais, órgãos públicos, conselhos, cooperativas, instituições de apoio e serviços comunitários.","""
Associações Comerciais
"",""
Conselhos e Entidades de Classe
"",""
Cooperativas
"",""
Entidades Rurais
"",""
Instituições de Apoio
"",""
Serviços Comunitários
"",""
Sindicatos
"",""
Órgãos Públicos
""",Deuzeli,,8,checked
"
Serviços Residenciais
","Diaristas, faxineiras,
  jardineiros, eletricistas, encanadores, pedreiros, pintores, montadores de
  móveis, limpeza de caixa d’água, dedetização, piscineiros, manutenção
  doméstica e reformas pequenas.","""
Chaveiro
"",""
Dedetização
"",""
Diarista e Faxina
"",""
Jardinagem
"",""
Lavanderia
"",""
Limpeza de Caixa d’Água
"",""
Limpeza Pós-Obra
"",""
Manutenção Residencial
"",""
Montador de Móveis
"",""
Pequenos Reparos
"",""
Piscineiro
"",""
Reformas Residenciais
""",,,12,checked
"
Serviços Técnicos
","Técnicos em eletrônicos, assistência para celulares, computadores, eletrodomésticos, ar-condicionado, refrigeração, equipamentos, internet, câmeras, alarmes e manutenção técnica em geral.","""
Ar Condicionado
"",""
Assistência Técnica em Eletrodomésticos
"",""
Assistência Técnica em Eletrônicos
"",""
Celulares e Informática
"",""
Comunicação via Rádio
"",""
Elétrica Técnica
"",""
Instalação e Manutenção de Ar Condicionado
"",""
Internet e Cabeamento
"",""
Manutenção de Impressoras
"",""
Refrigeração Comercial
"",""
Starlink
"",""
Técnico em Câmeras e Alarmes
""","Gustavo,Chico,Sebastião",,12,checked
"
Tecnologia
","Empresas e profissionais de
  informática, desenvolvimento de sites e sistemas, suporte técnico, automação,
  software, aplicativos, segurança digital, redes, manutenção de computadores e
  soluções digitais para negócios.","""
Aplicativos
"",""
Automação Comercial
"",""
Backup e Recuperação de Dados
"",""
Câmeras e Monitoramento Online
"",""
Desenvolvimento de Sistemas
"",""
Informática
"",""
Redes e Wi-Fi
"",""
Segurança Digital
"",""
Sistemas de Gestão
"",""
Suporte Técnico em Informática
"",""
Tecnologia para Empresas
""","Reinaldo,Lucio,Leonardo",,11,checked
"
Transporte, Fretes e Logística
","Fretes urbanos, mudanças, motoboys, transportadoras, transporte rural, carreto, entregas, táxi, motoristas particulares e logística para empresas.","""
Carretos
"",""
Entregas Rápidas
"",""
Fretamento de Ônibus
"",""
Fretes Urbanos
"",""
Logística Agro
"",""
Motoboy
"",""
Mudanças
"",""
Transportadoras
"",""
Transporte Escolar
"",""
Transporte Executivo
"",""
Táxi e Motorista Particular
""",,,11,checked
"
Turismo e Experiências
","Hotéis, pousadas, guias, agências de turismo, passeios, experiências rurais, ecoturismo, trilhas, pesca, eventos turísticos, transporte turístico, gastronomia regional e atividades para moradores e visitantes.","""
Agência de Viagens
"",""
Ecoturismo
"",""
Eventos Turísticos
"",""
Experiências Rurais
"",""
Guias Turísticos
"",""
Hotéis
"",""
Passeios e Trilhas
"",""
Pesca Esportiva
"",""
Pousadas
"",""
Transporte Turístico
""",João,,10,checked
"Desenvolvimento
  Pessoal e Profissional","Mentores, coaches,
  palestrantes, cursos, treinamentos, orientação de carreira, desenvolvimento
  de liderança, comunicação, vendas, inteligência emocional, produtividade,
  empreendedorismo e capacitações voltadas ao crescimento pessoal, profissional
  e empresarial.","""
Workshops e Imersões
""",,,1,
Desenvolvimento Pessoal e Profissional,,"Coaching Pessoal,Coaching Profissional,Consultoria de Imagem Profissional,Cursos de Liderança,Cursos de Vendas,Cursos Livres,Desenvolvimento de Lideranças,Educação Financeira Pessoal,Empreendedorismo,Gestão de Pessoas,Inteligência Emocional,Mentoria para Empreendedores,Mentoria Profissional,Oratória e Comunicação,Orientação de Carreira,Palestrantes,Preparação para Entrevistas,Produtividade e Organização,Treinamentos Empresariais,Workshops e Imersões",,,20,
