Nome do Serviço,Notes,Categorias,Ativo?,Solicitações,Mais procurado?,Destaque,Contador,Prestadores,Validade plano
"
Construtoras
","
Empresas responsáveis por obras residenciais, comerciais, industriais e rurais.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Consultoria Agronômica
","
Orientação técnica para planejamento, manejo, produtividade, fertilidade, pragas, doenças e culturas agrícolas.
","""
Agronegócios
""",checked,,,,,,
"
Consultoria de Amamentação
","
Apoio para mães no aleitamento, pega correta, ordenha, dificuldades e cuidados com o bebê.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Consultoria de Enfermagem
","
Orientação e cuidados de enfermagem, curativos, acompanhamento e assistência domiciliar.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Consultoria Empresarial
","
Apoio em gestão, vendas, processos, estratégia, expansão e melhoria de negócios.
","""
Profissionais e Serviços Especializados
""",checked,,,,,,
"
Consultoria Médica
","
Orientação especializada, segunda opinião, acompanhamento clínico e suporte médico.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Consultoria Veterinária Rural
","
Atendimento e orientação técnica para saúde animal, manejo sanitário, reprodução e produtividade pecuária.
","""
Agronegócios
""",checked,,,,,,
"
Consultoria Zootécnica
","
Planejamento de nutrição, manejo, reprodução e desempenho de rebanhos e sistemas de produção animal.
","""
Agronegócios
""",checked,,,,,,
"
Controle de Acesso
","
Portarias, fechaduras eletrônicas, biometria, catracas e sistemas de entrada.
","""
Segurança e Monitoramento
""",checked,,,,,,
"
Convites e Papelaria Personalizada
","
Criação e produção de convites, tags, lembranças e materiais personalizados.
","""
Festas e Eventos
""",checked,,,,,,
"
Cooperativas
","
Organizações cooperativas voltadas a crédito, produção, consumo, agro, trabalho ou serviços.
","""
Serviços Públicos, Associações e Entidades
""",checked,,,,,,
"
Cooperativas de Crédito
","
Instituições financeiras cooperativas com soluções para pessoas, empresas e produtores.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Copywriter
","
Textos persuasivos para anúncios, páginas, campanhas, redes sociais, vendas e comunicação de marca.
","""
Marketing e Mídia
""",checked,,,,,,
"
Corretores de Imóveis
","
Profissionais para compra, venda, locação, negociação e avaliação de imóveis.
","""
Imóveis e Moradia
""",checked,,,,,,
"
Creche Pet
","
Espaço para recreação, socialização e cuidado de pets durante o dia.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Crédito Rural
","
Apoio para acesso a financiamentos, custeio, investimento, linhas de crédito e projetos rurais.
","""
Agronegócios
""",checked,,,,,,
"
Criação de Sites
","
Desenvolvimento de sites institucionais, landing pages, lojas virtuais e páginas de venda.
","""
Marketing e Mídia
""",checked,,,,,,
"
Cuidadores de Idosos
","
Profissionais para acompanhamento, cuidado e assistência domiciliar a idosos.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Cursos para Concursos
","
Preparação para concursos públicos, vestibulares, Enem e processos seletivos.
","""
Educação e Cultura
""",checked,,,,,,
"
Cursos Profissionalizantes
","
Capacitações técnicas, cursos rápidos e treinamentos voltados ao mercado de trabalho.
","""
Educação e Cultura
""",checked,,,,,,
"
Decoração Infantil
","
Decoração temática, painéis, balões, mesas decoradas e ambientação para festas infantis.
","""
Festas e Eventos
""",checked,,,,,,
"
Dedetização
","
Controle de pragas, insetos, cupins, baratas, ratos e limpeza sanitária de ambientes.
","""
Serviços Residenciais
""",checked,,,,,,
"
Delivery de Comida
","
Entrega de refeições, lanches, bebidas, sobremesas e comidas variadas.
","""
Gastronomia
""",checked,,,,,,
"
Dentistas
","
Clínicas e profissionais de odontologia, limpeza, restauração, implantes, aparelhos e estética dental.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Desenvolvimento de Sistemas
","
Criação de softwares, plataformas, aplicativos e soluções digitais sob medida.
","""
Tecnologia
""",checked,,,,,,
"
Design e Interiores
","
Planejamento de ambientes, decoração, escolha de materiais, móveis, iluminação e aproveitamento de espaços.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Designer Gráfico
","
Artes para redes sociais, impressos, catálogos, banners, folders e materiais digitais.
","""
Marketing e Mídia
""",checked,,,,,,
"
Despachante
","
Serviços de documentação, processos administrativos, regularizações e protocolos.
","""
Profissionais e Serviços Especializados
""",checked,,,,,,
"
Despachante Veicular
","
Regularização, transferência, documentação, licenciamento e processos junto ao Detran.
","""
Serviços para Veículos
""",checked,,,,,,
"
Diarista e Faxina
","
Profissionais para limpeza doméstica, faxina pesada, organização e manutenção da casa.
","""
Serviços Residenciais
""",checked,,,,,,
"
DJ
","
Discotecagem, animação musical, playlists e condução sonora para festas e eventos.
","""
Festas e Eventos
""",checked,,,,,,
"
Docerias
","
Doces, bolos, sobremesas, brigadeiros, tortas e produtos de confeitaria.
","""
Gastronomia
""",checked,,,,,,
"
Ecoturismo
","
Passeios em áreas naturais, trilhas, cachoeiras, experiências ecológicas e turismo de natureza.
","""
Turismo e Experiências
""",checked,,,,,,
"
Educação Financeira
","
Orientação sobre orçamento, organização financeira, dívidas, investimentos e planejamento.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Elétrica Técnica
","
Manutenção elétrica técnica em equipamentos, painéis, comandos e instalações específicas.
","""
Serviços Técnicos
""",checked,,,,,,
"
Eletricista
","
Instalações, reparos, manutenção elétrica, quadros, tomadas, iluminação e soluções residenciais ou comerciais.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Eletrodomésticos
","
Venda de geladeiras, fogões, máquinas de lavar, eletroportáteis e produtos para casa.
","""
Comércio Local
""",checked,,,,,,
"
Empréstimos e Crédito Pessoal
","
Soluções de crédito para pessoas físicas, autônomos e empresas.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Encanador
","
Instalações e reparos hidráulicos, vazamentos, tubulações, registros, caixas d’água e manutenção geral.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Energia Solar
","
Projetos, venda, instalação e manutenção de sistemas fotovoltaicos residenciais, comerciais e rurais.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Engenharia Civil
","
Projetos, obras, laudos, cálculos, regularizações e acompanhamento técnico de construções.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Engenharia de Segurança do Trabalho
","
Laudos, treinamentos, programas e adequações para saúde e segurança ocupacional.
","""
Profissionais e Serviços Especializados
""",checked,,,,,,
"
Engenharia Elétrica
","
Projetos elétricos, adequações, laudos, instalações e soluções técnicas em energia.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Engenharia Mecânica
","
Projetos, manutenção, laudos e soluções mecânicas para equipamentos, estruturas e processos.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Entidades Rurais
","
Sindicatos, associações e instituições ligadas ao agronegócio e produtores rurais.
","""
Serviços Públicos, Associações e Entidades
""",checked,,,,,,
"
Entregas Rápidas
","
Transporte ágil de pequenos volumes, documentos, produtos e encomendas dentro da cidade.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Equipamentos Comerciais
","
Venda e manutenção de balcões, freezers, expositores, fornos, máquinas e equipamentos para comércio.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Equipamentos Industriais
","
Máquinas, ferramentas, equipamentos e soluções para produção, manutenção e operações industriais.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Escola de Idiomas
","
Cursos de inglês, espanhol e outros idiomas para crianças, jovens e adultos.
","""
Educação e Cultura
""",checked,,,,,,
"
Escola e Colégio
","
Instituições de ensino infantil, fundamental, médio e educação básica.
","""
Educação e Cultura
""",checked,,,,,,
"
Escolinhas Esportivas
","
Treinamento esportivo para crianças, jovens e adultos em diferentes modalidades.
","""
Clubes, Esportes e Lazer
""",checked,,,,,,
"
Espaço para Eventos
","
Salões, chácaras, clubes e locais para festas, reuniões e confraternizações.
","""
Festas e Eventos
""",checked,,,,,,
"
Esquadrias, Alumínio e Vidros
","
Fabricação e instalação de janelas, portas, boxes, fachadas, vidros e estruturas em alumínio.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Estética
","
Tratamentos estéticos faciais e corporais, cuidados com pele, beleza e bem-estar.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Estética Automotiva
","
Polimento, vitrificação, higienização interna, lavagem técnica e cuidados com veículos.
","""
Serviços para Veículos
""",checked,,,,,,
"
Eventos Turísticos
","
Programações, festivais, encontros e atividades voltadas a visitantes e moradores.
","""
Turismo e Experiências
""",checked,,,,,,
"
Experiências Rurais
","
Vivências no campo, turismo rural, visita a propriedades e experiências ligadas ao agro.
","""
Turismo e Experiências
""",checked,,,,,,
"
Fabricação Sob Medida
","
Produção de peças, estruturas, máquinas e soluções personalizadas para empresas e propriedades.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Faculdade
","
Instituições de ensino superior, graduação, pós-graduação, pesquisa e extensão.
","""
Educação e Cultura
""",checked,,,,,,
"
Farmácia de Manipulação
","
Medicamentos manipulados, fórmulas personalizadas, cosméticos e suplementos prescritos.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Farmácia Veterinária
","
Medicamentos, suplementos e produtos de saúde animal.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Farmácias
","
Medicamentos, perfumaria, produtos de saúde, higiene, conveniência e orientação farmacêutica.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Ferramentas e Máquinas
","
Venda, aluguel e manutenção de ferramentas elétricas, máquinas, compressores e equipamentos.
","""
Indústria, Máquinas e Equipamentos
""",checked,,,,,,
"
Filmagem de Eventos
","
Registro em vídeo de festas, casamentos, formaturas, eventos corporativos e celebrações.
","""
Festas e Eventos
""",checked,,,,,,
"
Filmmaker
","
Produção de vídeos, captação, edição e conteúdos audiovisuais para marcas, eventos e redes sociais.
","""
Marketing e Mídia
""",checked,,,,,,
"
Financiamento de Veículos
","
Financiamento para carros, motos, caminhonetes, caminhões e máquinas.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Financiamento Imobiliário
","
Crédito para compra, construção ou reforma de imóveis.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Fisioterapia
","
Reabilitação, tratamento de dores, pós-operatório, prevenção e recuperação física.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Floricultura
","
Flores, arranjos, buquês, plantas ornamentais, cestas e presentes especiais.
","""
Comércio Local
""",checked,,,,,,
"
Fonoaudiologia
","
Atendimento para fala, audição, linguagem, voz e desenvolvimento infantil.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Food Trucks
","
Comida de rua, lanches, eventos gastronômicos e opções móveis de alimentação.
","""
Gastronomia
""",checked,,,,,,
"
Fotografia
","
Ensaios, fotos comerciais, institucionais, publicitárias e registros profissionais.
","""
Marketing e Mídia
""",checked,,,,,,
"
Fotografia de Eventos
","
Registro fotográfico profissional de festas, eventos, casamentos, aniversários e solenidades.
","""
Festas e Eventos
""",checked,,,,,,
"
Fretamento de Ônibus
","
Locação e fretamento de ônibus para viagens, eventos, empresas, escolas e grupos.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Fretes Urbanos
","
Transporte de móveis, mercadorias, pequenas cargas e entregas dentro da cidade.
","""
Transporte, Fretes e Logística
""",checked,,,,,,
"
Frigorífico
","
Abate, processamento, comercialização e serviços relacionados à cadeia de carnes.
","""
Agronegócios
""",checked,,,,,,
"
Funilaria e Pintura
","
Reparos de lataria, pintura automotiva, recuperação de peças e estética veicular.
","""
Serviços para Veículos
""",checked,,,,,,
"
Garçons
","
Equipe de atendimento, recepção e serviço de mesa para eventos e festas.
","""
Festas e Eventos
""",checked,,,,,,
"
Georreferenciamento Rural
","
Medição, mapeamento e regularização de imóveis rurais, áreas produtivas e propriedades.
","""
Agronegócios
""",checked,,,,,,
"
Gesseiro e Drywall
","
Forros, sancas, divisórias, paredes, acabamentos e soluções em gesso e drywall.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Gestão de Redes Sociais
","
Planejamento, publicação, calendário editorial, interação e acompanhamento de redes sociais.
","""
Marketing e Mídia
""",checked,,,,,,
"
GPS Agrícola
","
Venda, instalação, configuração e suporte para equipamentos de navegação e orientação agrícola.
","""
Agronegócios
""",checked,,,,,,
"
Gráfica
","
Impressão de cartões, panfletos, banners, adesivos, catálogos, materiais promocionais e papelaria.
","""
Marketing e Mídia
""",checked,,,,,,
"
Grupos Comunitários
","
Coletivos, redes de apoio, grupos de convivência e iniciativas locais.
","""
Religião, Comunidade e Ações Sociais
""",checked,,,,,,
"
Guias Turísticos
","
Acompanhamento, orientação e condução de visitantes em roteiros e pontos turísticos.
","""
Turismo e Experiências
""",checked,,,,,,
"
Guincho
","
Remoção e transporte de veículos em caso de pane, acidente ou emergência.
","""
Serviços para Veículos
""",checked,,,,,,
"
Hamburguerias
","
Hambúrgueres artesanais, combos, porções e opções de delivery.
","""
Gastronomia
""",checked,,,,,,
"
Hidráulica
","
Serviços técnicos de instalação e manutenção de redes hidráulicas, bombas, encanamentos e reservatórios.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Hospedagem Pet
","
Locais para deixar cães e gatos durante viagens ou períodos de ausência.
","""
Pet Shop e Serviços para Pets
""",checked,,,,,,
"
Hotéis
","
Hospedagem, quartos, serviços de recepção, café da manhã e estrutura para visitantes.
","""
Turismo e Experiências
""",checked,,,,,,
"
Identidade Visual
","
Criação de logotipo, paleta de cores, materiais de marca e comunicação visual.
","""
Marketing e Mídia
""",checked,,,,,,
"
Igrejas e Instituições Religiosas
","
Templos, comunidades religiosas, celebrações, encontros e atividades de fé.
","""
Religião, Comunidade e Ações Sociais
""",checked,,,,,,
"
Imobiliárias
","
Empresas de venda, aluguel, administração e intermediação de imóveis urbanos e rurais.
","""
Imóveis e Moradia
""",checked,,,,,,
"
Influenciadores Locais
","
Criadores de conteúdo e perfis regionais para divulgação de marcas, produtos e serviços.
","""
Marketing e Mídia
""",checked,,,,,,
"
Informática
","
Serviços gerais de computadores, redes, notebooks, periféricos, programas e suporte técnico.
","""
Tecnologia
""",checked,,,,,,
"
Instalação de Câmeras
","
Venda, instalação e manutenção de câmeras de segurança residenciais, comerciais e rurais.
","""
Segurança e Monitoramento
""",checked,,,,,,
"
Instalação e Manutenção de Ar Condicionado
","
Instalação, limpeza, carga de gás, manutenção preventiva e corretiva de climatizadores.
","""
Serviços Técnicos
""",checked,,,,,,
"
Instituições de Apoio
","
Entidades que oferecem orientação, capacitação, suporte técnico e apoio institucional.
","""
Serviços Públicos, Associações e Entidades
""",checked,,,,,,
"
Internet e Cabeamento
","
Instalação de cabos, pontos de rede, roteadores, internet residencial e comercial.
","""
Serviços Técnicos
""",checked,,,,,,
"
Investimentos
","
Assessoria, orientação e soluções para aplicações financeiras, renda fixa, renda variável e planejamento.
","""
Serviços Financeiros, Seguros
""",checked,,,,,,
"
Irrigação Agrícola
","
Projetos, instalação e manutenção de pivôs, gotejamento, aspersão e sistemas de irrigação.
","""
Agronegócios
""",checked,,,,,,
"
Jardinagem
","
Corte de grama, poda, paisagismo, manutenção de jardins e áreas verdes.
","""
Serviços Residenciais
""",checked,,,,,,
"
Joias e Semijoias
","
Venda de joias, semijoias, bijuterias, relógios e acessórios pessoais.
","""
Comércio Local
""",checked,,,,,,
"
Laboratórios de Exames
","
Coleta e realização de exames laboratoriais, análises clínicas e testes.
","""
Saúde e bem-estar
""",checked,,,,,,
"
Lanchonetes
","
Lanches, salgados, sucos, sanduíches e refeições rápidas.
","""
Gastronomia
""",checked,,,,,,
"
Laudos e Vistorias Técnicas
","
Avaliações, inspeções, perícias, laudos de engenharia e análises técnicas de imóveis e obras.
","""
Construção, Energia e Engenharia
""",checked,,,,,,
"
Lava Jato
","
Lavagem simples, completa, higienização, limpeza interna e externa de veículos.
","""
Serviços para Veículos
""",checked,,,,,,
"
Lavanderia
","
Lavagem, secagem, passadoria e cuidados com roupas, peças especiais e enxovais.
","""
Serviços Residenciais
""",checked,,,,,,
